repoid	name	baseurl	repomd
ol10_baseos_latest	Oracle Linux 10 BaseOS Latest ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/baseos/latest/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/baseos/latest/x86_64/repodata/repomd.xml
ol10_appstream	Oracle Linux 10 Application Stream Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/appstream/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/appstream/x86_64/repodata/repomd.xml
ol10_u0_baseos_base	Oracle Linux 10 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/0/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/0/baseos/base/x86_64/repodata/repomd.xml
ol10_u1_baseos_base	Oracle Linux 10.1 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/1/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/1/baseos/base/x86_64/repodata/repomd.xml
ol10_addons	Oracle Linux 10 Addons ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/addons/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/addons/x86_64/repodata/repomd.xml
ol10_codeready_builder	Oracle Linux 10 CodeReady Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL10/codeready/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/codeready/builder/x86_64/repodata/repomd.xml
ol10_distro_builder	Oracle Linux 10 Distro Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL10/distro/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/distro/builder/x86_64/repodata/repomd.xml
ol10_UEKR8	Oracle Linux 10 UEK Release 8 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/UEKR8/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/UEKR8/x86_64/repodata/repomd.xml
ol10_RDMA	Oracle Linux 10 ($basearch) RDMA	https://yum.oracle.com/repo/OracleLinux/OL10/RDMA/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/RDMA/x86_64/repodata/repomd.xml
ol10_kvm_utils	Oracle Linux 10 KVM Utilities ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/kvm/utils/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/kvm/utils/x86_64/repodata/repomd.xml
ol10_MySQL_connectors_community	MySQL Connectors Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/connectors/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/connectors/community/x86_64/repodata/repomd.xml
ol10_MySQL_innovation_community	MySQL Innovation Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/community/x86_64/repodata/repomd.xml
ol10_MySQL_innovation_tools_community	MySQL Innovation Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/tools/community/x86_64/repodata/repomd.xml
ol10_MySQL97_community	MySQL 9.7 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/community/x86_64/repodata/repomd.xml
ol10_MySQL97_tools_community	MySQL 9.7 Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/tools/community/x86_64/repodata/repomd.xml
ol10_MySQL84_community	MySQL 8.4 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/community/x86_64/repodata/repomd.xml
ol10_MySQL84_tools_community	MySQL 8.4 Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/tools/community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/tools/community/x86_64/repodata/repomd.xml
ol10_java	Oracle Java SE Development Kit (JDK) ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/java/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/java/x86_64/repodata/repomd.xml
ol10_oracle_instantclient23	Oracle Database Instant Client 26ai ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/oracle/instantclient23/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/oracle/instantclient23/x86_64/repodata/repomd.xml
ol10_u1_developer_EPEL	EPEL Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/1/developer/EPEL/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/1/developer/EPEL/x86_64/repodata/repomd.xml
ol10_developer	Developer Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/developer/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/developer/x86_64/repodata/repomd.xml
ol10_developer_UEKnext	Developer Release of UEK-next ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/developer/UEKnext/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/developer/UEKnext/x86_64/repodata/repomd.xml
