repoid	name	baseurl	repomd
ol8_baseos_latest	Oracle Linux 8 BaseOS Latest ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/baseos/latest/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/baseos/latest/x86_64/repodata/repomd.xml
ol8_appstream	Oracle Linux 8 Application Stream ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/appstream/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/appstream/x86_64/repodata/repomd.xml
ol8_codeready_builder	Oracle Linux 8 CodeReady Builder ($basearch) - Unsupported	https://yum.oracle.com/repo/OracleLinux/OL8/codeready/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/codeready/builder/x86_64/repodata/repomd.xml
ol8_distro_builder	Oracle Linux 8 Distro Builder ($basearch) - Unsupported	https://yum.oracle.com/repo/OracleLinux/OL8/distro/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/distro/builder/x86_64/repodata/repomd.xml
ol8_u0_baseos_base	Oracle Linux 8 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/0/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/0/baseos/base/x86_64/repodata/repomd.xml
ol8_u1_baseos_base	Oracle Linux 8.1 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/1/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/1/baseos/base/x86_64/repodata/repomd.xml
ol8_u2_baseos_base	Oracle Linux 8.2 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/2/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/2/baseos/base/x86_64/repodata/repomd.xml
ol8_u3_baseos_base	Oracle Linux 8.3 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/3/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/3/baseos/base/x86_64/repodata/repomd.xml
ol8_u4_baseos_base	Oracle Linux 8.4 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/4/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/4/baseos/base/x86_64/repodata/repomd.xml
ol8_u5_baseos_base	Oracle Linux 8.5 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/5/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/5/baseos/base/x86_64/repodata/repomd.xml
ol8_u6_baseos_base	Oracle Linux 8.6 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/6/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/6/baseos/base/x86_64/repodata/repomd.xml
ol8_u7_baseos_base	Oracle Linux 8.7 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/7/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/7/baseos/base/x86_64/repodata/repomd.xml
ol8_u8_baseos_base	Oracle Linux 8.8 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/8/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/8/baseos/base/x86_64/repodata/repomd.xml
ol8_u9_baseos_base	Oracle Linux 8.9 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/9/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/9/baseos/base/x86_64/repodata/repomd.xml
ol8_u10_baseos_base	Oracle Linux 8.10 BaseOS ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/10/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/10/baseos/base/x86_64/repodata/repomd.xml
ol8_addons	Oracle Linux 8 Addons ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL8/addons/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/addons/x86_64/repodata/repomd.xml
ol8_u4_security_validation	Oracle Linux $releasever Update 4 ($basearch) Security Validations	https://yum.oracle.com/repo/OracleLinux/OL8/4/security/validation/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL8/4/security/validation/x86_64/repodata/repomd.xml
