repoid	name	baseurl	repomd
ol10_baseos_latest	Oracle Linux 10 BaseOS Latest ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/baseos/latest/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/baseos/latest/aarch64/repodata/repomd.xml
ol10_appstream	Oracle Linux 10 Application Stream Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/appstream/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/appstream/aarch64/repodata/repomd.xml
ol10_u0_baseos_base	Oracle Linux 10 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/0/baseos/base/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/0/baseos/base/aarch64/repodata/repomd.xml
ol10_u1_baseos_base	Oracle Linux 10.1 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/1/baseos/base/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/1/baseos/base/aarch64/repodata/repomd.xml
ol10_addons	Oracle Linux 10 Addons ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/addons/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/addons/aarch64/repodata/repomd.xml
ol10_codeready_builder	Oracle Linux 10 CodeReady Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL10/codeready/builder/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/codeready/builder/aarch64/repodata/repomd.xml
ol10_distro_builder	Oracle Linux 10 Distro Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL10/distro/builder/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/distro/builder/aarch64/repodata/repomd.xml
ol10_UEKR8	Oracle Linux 10 UEK Release 8 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/UEKR8/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/UEKR8/aarch64/repodata/repomd.xml
ol10_RDMA	Oracle Linux 10 ($basearch) RDMA	https://yum.oracle.com/repo/OracleLinux/OL10/RDMA/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/RDMA/aarch64/repodata/repomd.xml
ol10_kvm_utils	Oracle Linux 10 KVM Utilities ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/kvm/utils/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/kvm/utils/aarch64/repodata/repomd.xml
ol10_MySQL_connectors_community	MySQL Connectors Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/connectors/community/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/connectors/community/aarch64/repodata/repomd.xml
ol10_MySQL_innovation_community	MySQL Innovation Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/community/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/community/aarch64/repodata/repomd.xml
ol10_MySQL_innovation_tools_community	MySQL Innovation Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/tools/community/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL/innovation/tools/community/aarch64/repodata/repomd.xml
ol10_MySQL97_community	MySQL 9.7 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/community/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/community/aarch64/repodata/repomd.xml
ol10_MySQL97_tools_community	MySQL 9.7 Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/tools/community/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL97/tools/community/aarch64/repodata/repomd.xml
ol10_MySQL84_community	MySQL 8.4 Server Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/community/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/community/aarch64/repodata/repomd.xml
ol10_MySQL84_tools_community	MySQL 8.4 Tools Community ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/tools/community/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/MySQL84/tools/community/aarch64/repodata/repomd.xml
ol10_java	Oracle Java SE Development Kit (JDK) ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/java/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/java/aarch64/repodata/repomd.xml
ol10_oracle_instantclient23	Oracle Database Instant Client 26ai ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/oracle/instantclient23/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/oracle/instantclient23/aarch64/repodata/repomd.xml
ol10_u1_developer_EPEL	EPEL Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/1/developer/EPEL/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/1/developer/EPEL/aarch64/repodata/repomd.xml
ol10_developer	Developer Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/developer/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/developer/aarch64/repodata/repomd.xml
ol10_developer_UEKnext	Developer Release of UEK-next ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/developer/UEKnext/aarch64/	https://yum.oracle.com/repo/OracleLinux/OL10/developer/UEKnext/aarch64/repodata/repomd.xml
