repoid	name	baseurl	repomd
ol7_latest	Oracle Linux $releasever Latest ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/latest/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/latest/x86_64/repodata/repomd.xml
ol7_UEKR5	Latest Unbreakable Enterprise Kernel Release 5 for Oracle Linux $releasever ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR5/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR5/x86_64/repodata/repomd.xml
ol7_UEKR4	Latest Unbreakable Enterprise Kernel Release 4 for Oracle Linux $releasever ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR4/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR4/x86_64/repodata/repomd.xml
ol7_UEKR3	Latest Unbreakable Enterprise Kernel Release 3 for Oracle Linux $releasever ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR3/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR3/x86_64/repodata/repomd.xml
ol7_security_validation	Latest Security Validations packages for Oracle Linux $releasever Update 3 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/security/validation/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/security/validation/x86_64/repodata/repomd.xml
ol7_optional_latest	Oracle Linux $releasever Optional Latest ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/optional/latest/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/optional/latest/x86_64/repodata/repomd.xml
ol7_addons	Oracle Linux $releasever Add ons ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/addons/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/addons/x86_64/repodata/repomd.xml
ol7_UEKR3_OFED20	OFED supporting tool packages for Unbreakable Enterprise Kernel on Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR3_OFED20/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR3_OFED20/x86_64/repodata/repomd.xml
ol7_UEKR5_RDMA	Oracle Linux 7 UEK5 RDMA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR5/RDMA/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR5/RDMA/x86_64/repodata/repomd.xml
ol7_UEKR4_OFED	OFED supporting tool packages for Unbreakable Enterprise Kernel Release 4 on Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR4/OFED/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/UEKR4/OFED/x86_64/repodata/repomd.xml
ol7_kvm_utils	Oracle Linux $releasever KVM Utilities ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/kvm/utils/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/kvm/utils/x86_64/repodata/repomd.xml
ol7_MySQL80	MySQL 8.0 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL80_community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL80_community/x86_64/repodata/repomd.xml
ol7_MySQL57	MySQL 5.7 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL57_community/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL57_community/x86_64/repodata/repomd.xml
ol7_MySQL56	MySQL 5.6 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL56/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL56/x86_64/repodata/repomd.xml
ol7_MySQL55	MySQL 5.5 for Oracle Linux 7 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL55/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/MySQL55/x86_64/repodata/repomd.xml
ol7_openstack50	OpenStack 5.0 packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack50/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack50/x86_64/repodata/repomd.xml
ol7_openstack50_extras	OpenStack 5.0 Extra packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack50_extras/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack50_extras/x86_64/repodata/repomd.xml
ol7_openstack40	OpenStack 4.0 packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack40/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack40/x86_64/repodata/repomd.xml
ol7_openstack40_extras	OpenStack 4.0 Extra packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack40_extras/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack40_extras/x86_64/repodata/repomd.xml
ol7_openstack30	OpenStack 3.0 packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack30/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack30/x86_64/repodata/repomd.xml
ol7_openstack_extras	OpenStack 3.0 Extra packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack_extras/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack_extras/x86_64/repodata/repomd.xml
ol7_openstack21	OpenStack 2.1 packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack21/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack21/x86_64/repodata/repomd.xml
ol7_openstack20	OpenStack 2.0 packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/openstack20/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/openstack20/x86_64/repodata/repomd.xml
ol7_ceph30	Ceph Storage for Oracle Linux Release 3.0 - Oracle Linux 7.5 or later ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/ceph30/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/ceph30/x86_64/repodata/repomd.xml
ol7_ceph	Ceph Storage for Oracle Linux Release 2.0 - Oracle Linux 7.2 or later ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/ceph/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/ceph/x86_64/repodata/repomd.xml
ol7_ceph10	Ceph Storage for Oracle Linux Release 1.0 - Oracle Linux 7.1 or later ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL7/ceph10/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/ceph10/x86_64/repodata/repomd.xml
ol7_software_collections	Software Collection Library release 3.0 packages for Oracle Linux 7 (x86_64)	https://yum.oracle.com/repo/OracleLinux/OL7/SoftwareCollections/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL7/SoftwareCollections/x86_64/repodata/repomd.xml
